year,AEP
2024,312.87184226
2023,336.6362761393089
2022,380.0920191407838
2021,423.68897168408586
2020,386.3126654835154
2019,330.1684637634443
2018,426.29243647190043
2017,344.66850971250875
2016,344.9719609469311
2015,425.84840408109534
2014,367.77125098089584
