ws,wd
3.8,256
4.3,244
4.6,244
5.1,257
4.7,266
3.5,259
3.2,226
3.7,203
2.6,188
0.3,189
0.9,308
1.6,302
2.2,328
4.7,7
5.5,13
5.3,11
5.2,12
4.9,12
4.3,14
3.8,18
4.1,19
2.3,21
1.1,226
1.0,240
0.8,206
2.2,137
1.6,166
2.0,152
1.8,134
1.7,127
2.1,127
2.9,122
3.3,121
2.4,114
1.6,102
0.7,49
2.5,2
4.6,15
5.5,17
6.0,18
5.8,22
5.6,33
5.2,41
4.4,48
3.7,64
3.4,94
3.8,124
2.6,170
2.0,203
1.4,221
0.8,220
0.6,187
1.1,157
1.9,143
2.3,152
2.1,155
1.6,142
1.7,122
1.6,99
1.1,78
2.7,29
4.4,43
5.6,39
6.6,36
7.8,37
7.1,49
6.4,65
6.6,67
7.1,69
7.5,78
7.7,84
7.6,90
7.1,100
6.0,109
5.0,113
4.1,114
3.5,114
3.4,112
3.5,110
3.9,108
4.4,105
4.2,106
4.6,97
5.9,84
6.2,78
7.1,77
6.6,74
6.6,71
7.5,77
7.9,84
7.7,92
8.1,96
7.8,99
7.5,102
6.9,101
6.4,104
5.9,107
5.6,111
5.7,114
5.9,115
6.0,111
6.0,111
5.8,116
5.9,119
5.9,117
4.2,109
3.6,108
2.8,107
2.4,106
1.7,89
0.9,73
2.1,30
5.8,28
6.2,40
7.1,72
7.1,83
7.2,90
7.7,104
7.8,112
7.5,115
7.1,116
6.4,118
5.9,120
5.5,118
5.8,112
7.1,109
7.6,115
7.4,119
6.2,121
3.8,116
2.8,109
2.1,114
1.3,120
1.2,90
1.4,112
3.4,103
4.8,86
5.3,73
6.2,73
6.8,81
6.9,86
7.1,95
7.0,99
7.5,103
7.5,104
7.5,105
7.2,108
6.9,112
6.5,114
6.3,116
6.2,118
6.2,115
6.1,111
4.7,104
5.2,99
5.3,93
5.2,84
4.4,83
4.1,89
4.5,91
4.6,106
4.3,100
4.7,95
4.9,94
4.4,123
5.1,206
3.8,223
3.2,214
2.8,208
2.0,155
2.9,110
3.5,118
3.9,115
4.7,118
5.3,121
5.2,121
4.2,121
2.7,115
2.4,114
1.7,118
1.2,103
0.9,144
4.0,13
5.6,20
5.7,28
