time,price
0,3394.08
1,3394.08
2,3394.08
3,3394.08
4,3394.08
5,3394.08
6,3394.08
7,3385.38
8,3189.73
9,3189.73
10,3189.73
11,3189.73
12,3189.73
13,3189.73
14,3213.68
15,3189.73
16,3189.73
17,3189.73
18,3338.98
19,3408.14
20,3392.42
21,3394.08
22,3394.08
23,3394.08
24,3441.01
25,3441.01
26,3441.01
27,3441.01
28,3441.01
29,3441.01
30,3441.01
31,3441.01
32,3463.82
33,3436.18
34,3471.48
35,3477.71
36,3477.71
37,3477.71
38,3477.71
39,3477.71
40,5240.98
41,6072.87
42,6072.87
43,6072.87
44,6072.87
45,4648.41
46,3698.77
47,3552.05
48,3501.89
49,3494.43
50,3494.43
51,3494.43
52,3494.43
53,3494.43
54,3494.43
55,3494.43
56,3494.43
57,3494.43
58,3442.51
59,3459.50
60,3641.59
61,3530.85
62,3494.43
63,3552.70
64,3712.93
65,5990.94
66,5716.01
67,3712.93
68,3712.93
69,3553.66
70,3533.22
71,3494.43
72,3530.61
73,3518.27
74,3518.27
75,3518.27
76,3518.27
77,3521.46
78,3531.04
79,3531.04
80,3531.04
81,3526.78
82,3495.99
83,3457.51
84,3457.51
85,3457.51
86,3513.83
87,5085.44
88,6626.34
89,7102.94
90,7102.94
91,7072.85
92,7072.85
93,7007.60
94,6857.88
95,6660.79
96,6534.83
97,6074.65
98,6074.65
99,4348.81
100,3615.87
101,3512.55
102,3754.63
103,5643.19
104,3689.77
105,3503.26
106,3487.12
107,3454.86
108,3454.86
109,5035.49
110,6074.65
111,6215.49
112,6548.89
113,6947.65
114,6947.65
115,6916.70
116,6320.34
117,6353.22
118,7017.05
119,7026.78
120,7163.52
121,7164.94
122,7160.10
123,7159.93
124,7159.93
125,7159.93
126,7159.93
127,7089.71
128,4085.86
129,3636.14
130,3636.14
131,3636.14
132,3636.14
133,3636.14
134,3636.14
135,4795.06
136,6397.50
137,7162.96
138,7164.94
139,7164.94
140,7162.94
141,7159.93
142,7159.93
143,7159.93
144,7158.28
145,7162.12
146,7162.12
147,7162.12
148,7162.12
149,7155.50
150,6734.47
151,6427.07
152,5844.88
153,3369.44
154,3319.81
155,3319.81
156,3042.25
157,2562.83
158,2773.26
159,3319.81
160,4128.14
161,6702.51
162,6316.86
163,4357.66
164,3617.56
165,3792.59
166,6116.33
167,6116.33
168,5744.95
169,3787.89
170,3782.77
171,3614.50
172,3496.41
173,3535.27
174,5476.34
175,6090.32
176,5934.26
177,3535.77
178,3496.41
179,3496.41
180,3530.42
181,3593.57
182,3550.09
183,3711.13
184,5857.52
185,6090.32
186,6090.32
187,6090.32
188,6090.32
189,6090.32
190,3864.64
191,6090.32
192,6068.98
193,6068.98
194,5055.95
195,3719.83
196,3454.98
197,3454.98
198,3560.92
199,3808.12
200,3666.86
201,3408.90
202,3454.98
203,3073.90
204,3060.89
205,3498.86
206,3490.29
207,3655.09
208,3808.12
209,5808.84
210,6068.98
211,6068.98
212,6068.98
213,6068.98
214,6068.98
215,4712.46
216,3763.37
217,5779.92
218,5223.17
219,3830.53
220,3830.53
221,4432.75
222,6088.86
223,5674.83
224,3770.09
225,3504.40
226,3504.40
227,3504.40
228,3504.40
229,3715.89
230,4231.82
231,6088.86
232,6088.86
233,6893.75
234,7115.91
235,7092.03
236,7092.03
237,7092.03
238,7092.03
239,6443.73
240,6094.06
241,5931.23
242,4343.25
243,3649.20
244,3649.20
245,3649.20
246,3649.20
247,3649.20
248,3649.20
249,3649.20
250,3649.20
251,3649.20
252,3649.20
253,3649.20
254,4043.86
255,5605.56
256,6094.06
257,6884.28
258,7125.95
259,7125.95
260,7125.95
261,6824.32
262,6149.89
263,5144.20
264,4472.03
265,4388.70
266,3638.81
267,3638.81
268,3638.81
269,3638.81
270,4208.17
271,4472.03
272,3749.90
273,3638.81
274,3638.81
275,3638.81
276,3638.81
277,3638.81
278,4222.06
279,5441.04
280,6347.59
281,6738.42
282,6994.17
283,7131.88
284,7131.88
285,7131.88
286,6382.91
287,7125.01
288,7840.49
289,7426.27
290,7327.33
291,7189.60
292,7327.33
293,7232.26
294,6832.47
295,6965.40
296,6793.22
297,5927.62
298,3726.47
299,6496.02
300,6821.26
301,5363.63
302,3395.68
303,5514.25
304,6900.53
305,7295.59
306,7389.97
307,7458.04
308,7458.04
309,7458.04
310,7458.04
311,7283.30
312,7187.47
313,7322.83
314,7333.86
315,7403.57
316,7322.27
317,7322.27
318,7322.27
319,7068.89
320,6548.36
321,3845.40
322,3390.41
323,3390.41
324,3390.41
325,3390.41
326,3390.41
327,3462.97
328,6516.04
329,7204.10
330,7149.13
331,7142.35
332,7142.35
333,7142.35
334,7142.35
335,7049.99
336,6928.66
337,6928.66
338,6928.66
339,6467.99
340,6366.60
341,3426.14
342,6172.06
343,7093.83
344,6291.16
345,3414.59
346,3404.48
347,3404.48
348,3404.48
349,3455.84
350,4709.98
351,6769.64
352,7217.35
353,7424.04
354,7432.57
355,7432.57
356,7432.57
357,7197.69
358,7307.51
359,7313.14
360,7234.17
361,7146.89
362,7146.89
363,7146.89
364,7146.89
365,7161.94
366,7327.48
367,7273.30
368,7146.89
369,6679.79
370,6401.28
371,4219.33
372,4219.33
373,4219.33
374,4219.33
375,6795.30
376,7100.58
377,7424.31
378,7294.44
379,7458.39
380,7449.44
381,7353.69
382,7327.48
383,7192.03
384,7155.12
385,7155.12
386,7155.12
387,7155.12
388,7155.12
389,7124.33
390,6953.93
391,6953.93
392,6938.30
393,4164.53
394,4164.53
395,4164.53
396,4164.53
397,5092.82
398,6649.29
399,7081.35
400,7296.74
401,7432.87
402,7436.18
403,7433.70
404,7432.87
405,7235.67
406,7233.44
407,7155.12
408,7145.41
409,7145.41
410,7145.41
411,7090.81
412,6611.60
413,6515.37
414,6906.02
415,7111.81
416,6549.98
417,5906.91
418,4114.93
419,3138.64
420,3074.44
421,3056.68
422,5374.51
423,4950.11
424,7008.33
425,7145.41
426,7217.92
427,7348.19
428,7145.41
429,7229.98
430,7269.01
431,6893.42
432,6861.65
433,6861.65
434,6861.65
435,6861.65
436,6861.65
437,6861.65
438,7046.44
439,7153.42
440,6903.69
441,4449.97
442,4090.38
443,4090.38
444,4961.72
445,6861.65
446,6954.04
447,7176.70
448,7434.28
449,7555.99
450,7577.64
451,7577.64
452,7577.64
453,7577.64
454,7544.74
455,7406.79
456,7353.90
457,7318.84
458,7178.58
459,7178.58
460,7178.50
461,7177.77
462,7177.77
463,6947.70
464,6794.93
465,4367.33
466,4033.21
467,4033.21
468,4033.21
469,4975.59
470,6896.05
471,6966.48
472,7178.45
473,7353.90
474,7353.90
475,7353.90
476,7353.90
477,7353.90
478,7353.90
479,7257.48
480,7173.15
481,7325.81
482,7304.44
483,7170.05
484,7051.54
485,6842.14
486,6783.50
487,5152.96
488,3491.05
489,3357.85
490,3231.71
491,3126.72
492,3081.73
493,3217.56
494,3407.73
495,3407.73
496,6155.26
497,6842.14
498,6974.43
499,7157.30
500,7156.24
501,7155.03
502,6842.14
503,6842.14
504,6533.07
505,6496.04
506,6496.04
507,6496.04
508,6496.04
509,6496.04
510,6496.04
511,6496.04
512,6496.04
513,5192.20
514,4260.89
515,4260.89
516,4260.89
517,6005.81
518,6360.35
519,6376.67
520,7120.85
521,7148.80
522,7148.80
523,7046.77
524,6538.36
525,6496.04
526,6449.77
527,5570.59
528,5583.09
529,5567.79
530,5567.79
531,5567.79
532,5364.16
533,4346.02
534,4111.97
535,3069.37
536,3069.37
537,3069.37
538,3069.37
539,3069.37
540,3029.16
541,3534.80
542,3963.03
543,4346.02
544,4346.02
545,4773.94
546,6485.62
547,5736.76
548,4346.02
549,3967.77
550,5225.05
551,6485.62
552,6512.04
553,5817.73
554,5956.59
555,6512.04
556,6512.04
557,6512.04
558,6512.04
559,6512.04
560,6664.18
561,4957.44
562,4383.48
563,4383.48
564,4383.48
565,4383.48
566,5518.71
567,5862.40
568,6938.74
569,7091.67
570,7077.76
571,6892.39
572,6907.15
573,7949.56
574,7725.76
575,7358.50
576,7065.23
577,6775.58
578,6516.03
579,6337.88
580,4378.20
581,5375.86
582,6516.03
583,6516.03
584,6409.14
585,4259.27
586,3188.89
587,4358.38
588,4001.59
589,3961.70
590,6283.55
591,6516.03
592,7086.09
593,7169.72
594,7169.72
595,7169.72
596,7169.72
597,7169.72
598,7051.04
599,6610.99
600,6502.74
601,6502.74
602,6502.74
603,6502.74
604,6380.19
605,5583.64
606,5966.60
607,6502.74
608,6502.74
609,5583.64
610,5583.64
611,5583.64
612,4629.02
613,4379.85
614,5629.60
615,6502.74
616,6756.15
617,7053.85
618,7172.85
619,7172.85
620,7172.85
621,6848.30
622,6721.59
623,6502.74
624,6501.49
625,6501.49
626,6501.49
627,6501.49
628,6501.49
629,5719.43
630,5648.33
631,5648.33
632,5648.33
633,5648.33
634,5208.29
635,3411.14
636,3172.70
637,3172.70
638,3484.59
639,5648.33
640,5648.33
641,6992.81
642,7164.04
643,7164.04
644,7080.62
645,6515.37
646,6501.49
647,6032.26
648,5656.84
649,5656.84
650,5656.84
651,5656.84
652,5656.84
653,5656.84
654,6159.73
655,6389.62
656,5656.84
657,4706.87
658,3929.61
659,3957.32
660,3998.89
661,3929.61
662,3929.61
663,3929.61
664,4578.67
665,6709.77
666,7192.81
667,7289.34
668,7201.66
669,7201.66
670,7198.23
671,7181.87
672,7170.95
673,7170.95
674,7115.88
675,6757.97
676,6617.52
677,6530.22
678,6530.22
679,5975.48
680,3951.31
681,3969.25
682,3969.87
683,3969.87
684,5162.84
685,5664.37
686,5664.37
687,5808.68
688,6628.91
689,6930.05
690,7175.03
691,7213.28
692,7202.27
693,7211.94
694,7213.25
695,7211.81
696,7204.35
697,7015.34
698,6872.26
699,7177.93
700,7177.93
701,7177.93
702,7243.88
703,7268.26
704,7220.43
705,7000.98
706,6669.86
707,6865.76
708,7177.93
709,7286.87
710,7594.83
711,8133.85
712,8151.86
713,7494.10
714,7274.19
715,7274.19
716,7212.69
717,7258.66
718,7274.19
719,7252.43
720,7253.82
721,7253.82
722,7231.71
723,7219.51
724,7173.77
725,7173.77
726,7224.66
727,7253.82
728,7253.82
729,6966.03
730,4315.90
731,3621.80
732,3482.02
733,5498.01
734,5269.51
735,6454.30
736,5672.89
737,6347.74
738,6738.45
739,6738.45
740,6738.45
741,5992.56
742,5672.89
743,5672.89
744,5631.35
745,5631.35
746,5631.35
747,5631.35
748,5631.35
749,5631.35
750,5688.12
751,6482.94
752,6482.94
753,5857.19
754,5631.35
755,5631.35
756,5631.35
757,5631.35
758,5631.35
759,6142.30
760,6529.10
761,7107.53
762,7163.90
763,6474.30
764,5631.35
765,5631.35
766,5631.35
